JongName,CurJuka,DungRak,Debi,PrevJuka,Volume,Money,StartJuka,HighJuka,LowJuka,High52,Low52,UpJuka,DownJuka,Per,Amount,FaceJuka
서울옥션,"4,185",2,30,"4,155","156,133","640,372,100","4,155","4,200","4,050","6,590","2,930","5,400","2,910",-9.89,"16,917,500",500
서울전자통신,782,5,4,786,"76,135","59,787,845",786,795,781,"1,235",524,"1,020",551,13.25,"69,588,847",500
서울제약,"10,550",5,50,"10,600","109,518","1,146,038,050","10,550","10,650","10,200","14,000","5,260","13,750","7,450",376.79,"8,485,499",500
서전기전,"3,145",2,20,"3,125","27,837","87,240,460","3,140","3,170","3,115","5,660","1,950","4,060","2,190",22.79,"9,698,780",500
서진시스템,"45,800",2,250,"45,550","2,452,351","116,388,391,250","45,600","49,800","44,500","45,700","22,150","59,200","31,900",17.04,"18,100,666",500
서진오토모티브,"1,795",2,55,"1,740","299,270","534,174,290","1,745","1,795","1,725","2,385","1,090","2,260","1,220",-2.25,"19,541,246",500
서플러스글로벌,"3,665",2,40,"3,625","1,193,730","4,409,056,170","3,630","3,805","3,590","3,625",903,"4,710","2,540",83.3,"36,988,000",100
서호전기,"21,500",5,50,"21,550","13,175","282,885,850","21,550","21,850","21,200","24,650","14,250","28,000","15,100",7.22,"5,150,000",500
서흥보통주,"57,300",5,"1,100","58,400","39,672","2,278,300,000","58,400","58,500","56,900","59,700","30,000","75,900","40,900",20.08,"11,569,113",500
서희건설,"1,195",3,0,"1,195","1,647,464","1,962,863,300","1,210","1,210","1,180","1,280",649,"1,550",840,3.61,"207,081,188",500
선데이토즈,"25,900",5,500,"26,400","203,106","5,323,921,200","25,700","26,900","25,700","30,700","10,500","34,300","18,500",81.45,"9,569,842",500
선도전기보통주,"2,555",2,20,"2,535","47,030","119,497,285","2,535","2,560","2,515","4,000","1,570","3,295","1,775",-21.29,"18,000,000",500
선익시스템,"6,560",5,110,"6,670","38,315","252,785,200","6,710","6,750","6,550","9,710","3,450","8,670","4,670",7.91,"8,999,295",500
선창산업보통주,"3,525",2,50,"3,475","26,180","91,004,315","3,445","3,550","3,345","4,950","1,955","4,515","2,435",-1.14,"12,607,989","1,000"
성광벤드,"7,790",2,280,"7,510","698,016","5,452,308,450","7,570","7,970","7,540","11,100","4,095","9,760","5,260",35.25,"28,600,000",500
성도이엔지,"3,550",3,0,"3,550","22,822","80,583,005","3,515","3,550","3,515","4,975","2,465","4,615","2,485",-.83,"15,470,000",500
성보화학보통주,"5,220",2,570,"4,650","1,802,583","9,711,780,775","4,650","5,810","4,610","4,980","2,780","6,040","3,255",-36,"20,020,000",500
성우전자,"2,240",5,35,"2,275","95,506","214,682,740","2,250","2,285","2,230","3,165","1,280","2,955","1,595",-5.74,"15,508,143",500
성우테크론,"7,340",2,550,"6,790","734,643","5,316,810,850","6,850","7,720","6,780","6,790","2,190","8,820","4,760",14.65,"9,405,602",500
성우하이텍,"3,170",5,65,"3,235","829,360","2,629,374,870","3,245","3,285","3,130","3,925","2,000","4,205","2,265",6.44,"80,000,000",500
성창기업지주보통주,"1,720",2,30,"1,690","120,726","207,706,705","1,700","1,740","1,690","1,900","1,000","2,195","1,185",-10.36,"69,751,600",500
성창오토텍,"8,280",2,80,"8,200","441,770","3,728,770,590","8,640","8,640","8,270","9,250","3,455","10,650","5,740",-276,"7,300,000",500
성호전자,789,3,0,789,"94,011","74,677,818",799,804,785,881,371,"1,025",553,-5.33,"35,598,043",500
세경하이테크,"27,900",5,450,"28,350","189,091","5,290,181,450","28,450","28,450","27,850","67,800","17,950","36,850","19,850",14.01,"11,642,000",500
세동,530,5,3,533,"91,090","47,727,213",526,531,517,871,472,692,374,-5.05,"21,411,000",500
세미콘라이트,885,2,6,879,"288,041","254,982,046",871,900,870,"3,405",464,"1,140",616,-.54,"26,632,293",500
세방보통주,"10,200",2,200,"10,000","462,295","4,647,660,360","10,100","10,250","9,950","12,350","6,800","13,000","7,000",42.5,"19,308,690",500
세방전지보통주,"31,100",5,100,"31,200","48,102","1,499,569,950","31,350","31,400","30,750","42,400","22,500","40,550","21,850",5.46,"14,000,000",500
세보엠이씨,"5,860",3,0,"5,860","25,044","147,539,330","5,860","5,950","5,830","8,750","3,350","7,610","4,110",-7.23,"10,530,000",500
세아베스틸보통주,"11,550",2,700,"10,850","1,476,338","17,390,847,050","11,250","12,250","11,200","17,200","5,360","14,100","7,600",23.91,"35,862,119","5,000"
세아제강보통주,"69,900",2,600,"69,300","18,775","1,292,625,800","69,200","70,400","67,700","70,700","28,900","90,000","48,600",7.97,"2,836,300","5,000"
세아제강지주보통주,"45,550",5,50,"45,600","7,852","354,296,850","45,600","46,000","44,900","53,200","19,500","59,200","31,950",-59.93,"4,141,657","5,000"
세아특수강보통주,"11,250",2,350,"10,900","36,968","412,274,900","10,950","11,450","10,850","14,350","7,180","14,150","7,650",8.63,"8,570,000","5,000"
세운메디칼,"3,990",5,100,"4,090","710,777","2,841,320,900","4,090","4,140","3,960","4,090","1,845","5,310","2,865",18.22,"43,800,000",100
세원셀론텍 보통주,"2,675",5,30,"2,705","197,176","532,500,020","2,705","2,755","2,670","3,355","1,490","3,515","1,895",-28.76,"61,908,841",500
세종공업보통주,"7,320",2,300,"7,020","3,350,717","24,599,190,260","7,260","7,550","7,100","7,810","2,250","9,120","4,920",28.48,"25,398,903",500
세종메디칼,"14,250",5,450,"14,700","136,475","1,965,447,650","14,700","15,150","14,100","14,700","4,480","19,100","10,300",27.4,"6,777,741",500
세종텔레콤,284,5,9,293,"6,791,507","1,940,116,602",290,292,282,423,193,380,206,71,"600,326,126",500
세중,"2,685",5,5,"2,690","118,212","318,942,595","2,705","2,730","2,680","3,370","1,100","3,495","1,885",21.83,"18,121,667",500
세진중공업보통주,"6,520",5,120,"6,640","436,436","2,829,423,450","6,540","6,600","6,380","7,120","1,700","8,630","4,650",105.16,"38,372,720",500
세진티에스,"2,660",2,10,"2,650","20,064","53,197,775","2,650","2,675","2,620","4,215","1,880","3,445","1,855",-10.47,"8,396,593",500
세코닉스,"4,910",5,100,"5,010","132,559","656,676,455","5,090","5,090","4,910","8,500","2,660","6,510","3,510",-3.27,"11,803,281",500
세화아이엠씨보통주,"1,175",5,20,"1,195","804,852","961,800,905","1,195","1,225","1,175","2,990","1,090","1,550",840,-6.22,"81,094,734",500
센트럴바이오,712,5,4,716,"138,578","98,374,242",720,730,700,926,414,930,502,-3.46,"46,304,890",500
셀루메드,"5,980",,0,"5,980",0,0,0,0,0,"7,050","4,990","7,770","4,190",-3.45,"29,701,057",500
셀리드,"35,300",5,200,"35,500","275,502","9,863,607,000","35,800","36,600","34,850","40,900","12,100","46,150","24,850",-132.71,"9,648,692",500
셀리버리,"121,800",2,"4,800","117,000","345,785","40,915,779,900","117,000","121,800","114,600","117,000","29,700","152,100","81,900",-48.16,"8,157,107",500
